user_id,activity_level,home_type,grooming_preference,time_available,experience_level,preferred_dog_size,PetName,min_height,max_height,min_weight,max_weight,grooming_frequency_value,shedding_value,energy_level_value,trainability_value,demeanor_value,avg_weight,avg_height,avg_weight_z,avg_height_z,match_score
1,Moderate,Small Apartment,Low,Limited,Expert,Small,Bolognese,25.4,30.48,2.4947580350000003,4.082331330000001,0.6,0.2,0.4,0.6,0.8,3.2885446825000004,27.94,-1.2469789135143194,-1.3858422889440352,8.6
2,High,House,High,Full-time,Experienced,Large,Great Dane,71.12,81.28,49.895160700000005,79.37866475,0.2,0.6,0.8,0.6,0.6,64.636912725,76.2,2.7164309279250256,1.8713589912669533,8.4
3,High,Rural,High,Part-time,First-time owner,Medium,Miniature American Shepherd,33.02,45.72,9.0718474,18.1436948,0.8,1.0,0.8,1.0,0.8,13.6077711,39.370000000000005,-0.580305539076278,-0.6143998804730111,8.0
4,Low,Rural,Low,Part-time,First-time owner,Large,Newfoundland,66.04,71.12,45.359237,68.0388555,0.4,0.6,0.6,0.8,0.8,56.69904625,68.58000000000001,2.2036052552803778,1.3570640522862718,8.8
5,Low,Small Apartment,Low,Part-time,Expert,Small,Bolognese,25.4,30.48,2.4947580350000003,4.082331330000001,0.6,0.2,0.4,0.6,0.8,3.2885446825000004,27.94,-1.2469789135143194,-1.3858422889440352,8.8
6,Very Low,Large Apartment,Low,Full-time,Experienced,Small,Bolognese,25.4,30.48,2.4947580350000003,4.082331330000001,0.6,0.2,0.4,0.6,0.8,3.2885446825000004,27.94,-1.2469789135143194,-1.3858422889440352,8.8
7,Low,Rural,High,Limited,First-time owner,Large,Newfoundland,66.04,71.12,45.359237,68.0388555,0.4,0.6,0.6,0.8,0.8,56.69904625,68.58000000000001,2.2036052552803778,1.3570640522862718,8.4
8,Low,Large Apartment,Very High,Part-time,First-time owner,Medium,Cocker Spaniel,34.29,39.37,9.0718474,13.6077711,0.8,0.4,0.6,1.0,1.0,11.33980925,36.83,-0.7268271598318915,-0.7858315267999056,7.6
9,Low,Large Apartment,Low,Minimal,First-time owner,Medium,Cavalier King Charles Spaniel,30.48,33.02,5.8967008100000005,8.164662660000001,0.4,0.4,0.4,1.0,0.8,7.030681735000001,31.75,-1.005218239267557,-1.128694819453694,8.0
10,Low,Large Apartment,Very High,Part-time,Experienced,Medium,Cocker Spaniel,34.29,39.37,9.0718474,13.6077711,0.8,0.4,0.6,1.0,1.0,11.33980925,36.83,-0.7268271598318915,-0.7858315267999056,7.6
11,Moderate,House,Medium,Full-time,Experienced,Medium,American Water Spaniel,38.1,45.72,11.33980925,20.41165665,0.6,0.2,0.6,1.0,0.8,15.87573295,41.91,-0.4337839183206645,-0.4429682341461175,8.0
12,High,Large Apartment,Very Low,Part-time,Experienced,Small,Cairn Terrier,24.13,25.4,5.8967008100000005,6.35029318,0.4,0.4,0.6,0.6,0.8,6.123496995,24.765,-1.0638268875698025,-1.6001318468526526,8.6
13,Low,Small Apartment,Low,Minimal,First-time owner,Small,Bolognese,25.4,30.48,2.4947580350000003,4.082331330000001,0.6,0.2,0.4,0.6,0.8,3.2885446825000004,27.94,-1.2469789135143194,-1.3858422889440352,7.3
14,Very High,House,Very High,Part-time,Expert,Medium,Old English Sheepdog,53.34,55.88,27.2155422,45.359237,0.6,0.6,0.6,0.4,0.6,36.2873896,54.61,0.8849106684798567,0.4141899974883533,8.2
15,Moderate,Large Apartment,Low,Part-time,First-time owner,Small,Havanese,21.59,29.21,3.17514659,5.8967008100000005,0.6,0.4,0.6,0.8,1.0,4.535923700000001,25.4,-1.1663920220987318,-1.557273935270929,8.8
16,Low,Rural,Low,Full-time,First-time owner,Medium,Cavalier King Charles Spaniel,30.48,33.02,5.8967008100000005,8.164662660000001,0.4,0.4,0.4,1.0,0.8,7.030681735000001,31.75,-1.005218239267557,-1.128694819453694,8.0
17,High,Large Apartment,Very High,Part-time,Expert,Small,Coton de Tulear,22.86,27.94,3.62873896,6.80388555,0.8,0.4,0.6,0.8,1.0,5.216312255,25.4,-1.122435535872048,-1.557273935270929,8.6
18,Very Low,Rural,High,Part-time,Expert,Large,Caucasian Shepherd Dog,58.42,76.2,44.905644630000005,77.1107029,0.6,0.8,0.4,0.4,0.2,61.00817376500001,67.31,2.4819963347160443,1.271348229122824,8.8
19,Low,Large Apartment,High,Minimal,First-time owner,Medium,Cavalier King Charles Spaniel,30.48,33.02,5.8967008100000005,8.164662660000001,0.4,0.4,0.4,1.0,0.8,7.030681735000001,31.75,-1.005218239267557,-1.128694819453694,7.6
20,Moderate,Large Apartment,Very High,Limited,Expert,Small,Havanese,21.59,29.21,3.17514659,5.8967008100000005,0.6,0.4,0.6,0.8,1.0,4.535923700000001,25.4,-1.1663920220987318,-1.557273935270929,8.6
