user_id,activity_level,home_type,grooming_preference,time_available,experience_level,preferred_dog_size
1,Moderate,Small Apartment,Low,Limited,Expert,Small
2,High,House,High,Full-time,Experienced,Large
3,High,Rural,High,Part-time,First-time owner,Medium
4,Low,Rural,Low,Part-time,First-time owner,Large
5,Low,Small Apartment,Low,Part-time,Expert,Small
6,Very Low,Large Apartment,Low,Full-time,Experienced,Small
7,Low,Rural,High,Limited,First-time owner,Large
8,Low,Large Apartment,Very High,Part-time,First-time owner,Medium
9,Low,Large Apartment,Low,Minimal,First-time owner,Medium
10,Low,Large Apartment,Very High,Part-time,Experienced,Medium
11,Moderate,House,Medium,Full-time,Experienced,Medium
12,High,Large Apartment,Very Low,Part-time,Experienced,Small
13,Low,Small Apartment,Low,Minimal,First-time owner,Small
14,Very High,House,Very High,Part-time,Expert,Medium
15,Moderate,Large Apartment,Low,Part-time,First-time owner,Small
16,Low,Rural,Low,Full-time,First-time owner,Medium
17,High,Large Apartment,Very High,Part-time,Expert,Small
18,Very Low,Rural,High,Part-time,Expert,Large
19,Low,Large Apartment,High,Minimal,First-time owner,Medium
20,Moderate,Large Apartment,Very High,Limited,Expert,Small
21,Low,Rural,High,Limited,Experienced,Medium
22,Low,Small Apartment,High,Part-time,Experienced,Small
23,Very Low,House,Very High,Full-time,Experienced,Small
24,Moderate,House,Medium,Full-time,Experienced,Medium
25,Very Low,House,Low,Part-time,First-time owner,Medium
26,Very Low,Rural,Medium,Minimal,Experienced,Large
27,Very High,Small Apartment,Very Low,Part-time,Expert,Small
28,Very Low,Large Apartment,Medium,Limited,First-time owner,Small
29,Very Low,Small Apartment,High,Limited,Experienced,Small
30,Moderate,Rural,Low,Limited,Experienced,Large
31,High,Rural,Low,Full-time,First-time owner,Large
32,Low,Rural,High,Full-time,Experienced,Medium
33,Very High,Small Apartment,Low,Part-time,First-time owner,Small
34,High,House,Medium,Part-time,Expert,Large
35,Low,Small Apartment,Low,Limited,First-time owner,Small
36,Very Low,Small Apartment,High,Minimal,Expert,Small
37,Very Low,Small Apartment,High,Minimal,First-time owner,Small
38,Moderate,House,Very Low,Part-time,Experienced,Small
39,Low,Rural,Medium,Part-time,First-time owner,Large
40,High,House,Medium,Full-time,Experienced,Large
41,Low,House,Medium,Full-time,Expert,Medium
42,Very Low,Rural,Very High,Minimal,First-time owner,Medium
43,High,House,High,Full-time,First-time owner,Medium
44,Low,Rural,High,Full-time,First-time owner,Medium
45,High,Rural,High,Part-time,First-time owner,Large
46,High,Small Apartment,High,Full-time,First-time owner,Small
47,Very Low,Rural,Low,Limited,Expert,Medium
48,Low,Rural,Low,Full-time,Experienced,Medium
49,Moderate,Rural,High,Limited,Experienced,Large
50,Very High,Large Apartment,Medium,Part-time,First-time owner,Medium
51,Moderate,House,High,Limited,First-time owner,Large
52,Very High,Small Apartment,Medium,Part-time,Experienced,Small
53,Low,Rural,High,Minimal,First-time owner,Large
54,Moderate,Small Apartment,Medium,Limited,First-time owner,Small
55,Moderate,Rural,Medium,Full-time,Experienced,Medium
56,Moderate,Rural,Low,Part-time,First-time owner,Medium
57,Very Low,Small Apartment,Very Low,Minimal,Expert,Small
58,Very Low,House,Low,Minimal,Experienced,Medium
59,Very Low,Rural,Medium,Minimal,Expert,Medium
60,Low,Small Apartment,Very High,Limited,First-time owner,Small
61,Low,House,Medium,Limited,Expert,Large
62,Very High,House,Very High,Full-time,Experienced,Medium
63,Low,Small Apartment,Very High,Full-time,Experienced,Small
64,Very Low,House,High,Limited,Expert,Small
65,Low,Rural,Medium,Full-time,First-time owner,Large
66,Very Low,Small Apartment,High,Full-time,Expert,Small
67,Low,Rural,Low,Limited,First-time owner,Large
68,Low,House,Medium,Minimal,Expert,Medium
69,Low,House,Very Low,Minimal,First-time owner,Small
70,Low,House,Very Low,Full-time,Expert,Small
71,High,Small Apartment,High,Part-time,Experienced,Small
72,Moderate,Rural,Very Low,Limited,Expert,Large
73,Low,Rural,High,Limited,First-time owner,Large
74,Moderate,Small Apartment,Very Low,Limited,First-time owner,Small
75,Low,Small Apartment,Very High,Part-time,First-time owner,Small
76,Very Low,House,Low,Limited,Expert,Large
77,Moderate,Large Apartment,Medium,Full-time,Expert,Small
78,Very High,Small Apartment,Medium,Part-time,First-time owner,Small
79,High,Small Apartment,Low,Full-time,Experienced,Small
80,Very High,Large Apartment,Very High,Part-time,Experienced,Medium
81,Very Low,Rural,Low,Part-time,First-time owner,Large
82,Very Low,House,Medium,Limited,Experienced,Large
83,Low,House,Low,Minimal,First-time owner,Medium
84,Very High,Rural,Very High,Full-time,Expert,Large
85,High,Small Apartment,Low,Full-time,First-time owner,Small
86,Low,House,Medium,Full-time,Expert,Medium
87,Moderate,Small Apartment,Very Low,Full-time,Experienced,Small
88,Very Low,Large Apartment,Low,Limited,Experienced,Small
89,Low,Small Apartment,Very High,Minimal,Experienced,Small
90,Moderate,Small Apartment,Low,Part-time,Experienced,Small
91,Low,Small Apartment,Medium,Minimal,Expert,Small
92,High,House,Very Low,Full-time,Expert,Small
93,Very Low,Small Apartment,Very Low,Minimal,Experienced,Small
94,Low,House,Low,Limited,Expert,Small
95,Moderate,Small Apartment,High,Full-time,Expert,Small
96,Low,Small Apartment,Very High,Minimal,Expert,Small
97,Low,House,High,Minimal,Experienced,Small
98,Low,Rural,High,Full-time,Experienced,Medium
99,Moderate,Rural,Low,Full-time,First-time owner,Medium
100,Moderate,Small Apartment,Very Low,Limited,Expert,Small
101,Low,House,Medium,Limited,Experienced,Small
102,Moderate,Rural,Very High,Full-time,Experienced,Medium
103,Very Low,Small Apartment,Low,Full-time,Experienced,Small
104,Very Low,House,Very High,Minimal,Experienced,Large
105,Moderate,Rural,Very High,Part-time,Experienced,Large
106,Low,Large Apartment,High,Minimal,Expert,Medium
107,Moderate,Small Apartment,High,Full-time,First-time owner,Small
108,Moderate,House,Very Low,Full-time,Expert,Small
109,High,Rural,Medium,Full-time,First-time owner,Medium
110,High,Rural,High,Full-time,First-time owner,Large
111,Very Low,Small Apartment,High,Limited,First-time owner,Small
112,Very High,Small Apartment,Very High,Full-time,Experienced,Small
113,Moderate,House,High,Full-time,Expert,Small
114,Very High,Large Apartment,Very Low,Full-time,First-time owner,Medium
115,Low,Rural,Medium,Full-time,First-time owner,Large
116,Very Low,Small Apartment,Very High,Limited,Expert,Small
117,Moderate,House,High,Full-time,Expert,Large
118,Very Low,House,Very High,Limited,Experienced,Small
119,High,Small Apartment,High,Part-time,Expert,Small
120,Very Low,Large Apartment,Very Low,Minimal,Experienced,Small
121,High,Rural,Medium,Part-time,Expert,Large
122,Low,Large Apartment,Low,Limited,Experienced,Medium
123,Very Low,Small Apartment,Very Low,Minimal,First-time owner,Small
124,Low,House,Very Low,Minimal,Experienced,Medium
125,Moderate,Small Apartment,High,Limited,Experienced,Small
126,Very High,Large Apartment,Medium,Full-time,Experienced,Medium
127,Very Low,House,Medium,Minimal,Expert,Medium
128,High,Small Apartment,Very High,Part-time,Experienced,Small
129,Very High,Rural,High,Part-time,Experienced,Large
130,Low,Rural,Very Low,Part-time,Experienced,Large
131,Very High,Large Apartment,Very High,Part-time,Experienced,Small
132,Very Low,Small Apartment,Low,Limited,First-time owner,Small
133,Very Low,House,Very Low,Full-time,First-time owner,Large
134,Very Low,House,Very Low,Limited,Experienced,Medium
135,Very Low,Large Apartment,Very Low,Full-time,Experienced,Medium
136,Very Low,Small Apartment,Very High,Part-time,Experienced,Small
137,Moderate,House,Low,Limited,Expert,Large
138,Very Low,House,High,Part-time,Expert,Small
139,Very Low,Rural,Medium,Part-time,Experienced,Large
140,Low,Rural,Medium,Limited,Expert,Large
141,Moderate,Rural,Medium,Limited,Expert,Medium
142,Very Low,Large Apartment,Very Low,Limited,Expert,Small
143,Moderate,Rural,Very Low,Full-time,Expert,Large
144,Moderate,House,Medium,Limited,Experienced,Large
145,High,Large Apartment,Very Low,Full-time,Experienced,Small
146,Very Low,Small Apartment,Medium,Minimal,Experienced,Small
147,Moderate,House,Medium,Full-time,Experienced,Large
148,Very Low,Large Apartment,Low,Full-time,Expert,Medium
